标题,内容,评论
有偿招募,,养老院工作可以不？
有偿实验招募|有父母（>55岁）会使用豆包或其他AI工具的吗,,
招募文字访谈者需要照片,,
求推荐老人助力车,,
禁止访问,,
禁止访问,,
例行提醒：北京地区惠民保开卖了，能买尽买,,
长护险使用者家属访谈招募,,
强烈推荐一本书，《最好的告别》,,
访谈招募 | 55岁以上抖音直播用户,,
老年人有智能手机【网瘾】怎么办？,,无解，天天因为这个跟我妈吵架 || 只能引导老人拥有远离手机的爱好。 || 我觉得呢，您说的很有道理！老年人经常刷手机呢，对眼睛不太好，而且经常低头看手机呢，对颈椎呢？也不是太好的，但是话又说回来哈，现在的老年人呢，大多数都是老两口一起住，或者是一个人独居，有喜欢运动的呢，可能出去运动，有爱遛弯儿的出去遛弯儿，也有去跳广场舞的；那除了这些时间他们干什么呢？子女都有 自己的家庭也不可能陪在老人身边，那么他们也没有说话唠嗑的人了呀？所以也就迷上了手机吧，我知道的，我身边的老人刷视频号的就非常多， 而且还非常热衷于买一些价格不贵的家庭用的东西，所以手机现在就成了老年人不可或缺的朋友了吧？朋友们！你们认为我的这个说法合不合乎情理呢？
给55+妈妈挑选一个什么样的手机？,,"二妹大概多少岁？ || 我感觉高精度实时定位的、像市场化程度高的儿童手表那种可能适合一点。
最好做到有设备最后联网位置功能和设备查找时播放高音量警铃声功能 || 看抖音和快手的设备，只要比那家新配偶现有的设备要好，那不是必然会被拿走吗？
小孩不懂事。 || 所以得好好想想多找网友集思广益……多发几个网站 || 买手机不复杂，千元机完全够用 || 买了手机，你妈妈能否用到更关键。你都转钱了，你妈妈的现在老公也不给她买手机，这才是问题吧 || 你家情况比较特别，建议你一样样来，你妈是没有收入吗？那其他人抢她手机，她也没有意见？这些比你买手机问题更复杂。 || 建议先别买了，反正你能联系到她，她是有自己的家庭的，你单独和她另外说什么，其实也不合适了。 || 256g红米NOTE14 淘金币加国补好像低于1000 || 13岁好像，上初二 || 这是又得上手机网课、又爱玩手游、又不珍惜物品的年纪，难搞 || 两种思考方向：
1.选择不支持流畅游戏的中性能耐摔设备，比如三防智能机
缺点：重量 || 2.我觉得【通话需求】要和【看短视频需求】分开，让两个设备分别满足需求
A如果只满足通话需求，那就有很多可以选，4英寸以下儿童功能机、学生卡片式手机、公网对讲机 等等
B满足看短视频需求的同时又要不让玩手游……二手旧平板？智能屏感觉不太行 || 我觉得选那种学生玩游戏玩起来卡卡的，老人只打电话播视频觉得还凑合的才不容易被盯上拿走 || 谢谢。决定还是再给一笔 孝敬妈妈，告诉她可以买手机用，但具体买什么她自己决定，不再过问。
买东西给她是没法100%决定最终使用的，也可能会因为没花自己钱而随意对待。但是如果直接给到她，她会知道该怎么用。
对妈妈来说现在的家庭重要程度应该是在原家庭之上的，这也尊重她的意志吧 || 看得心疼你妈妈。前面有友友给出了很好的建议，你的决定也蛮好的。"
